序号,曲目名称,演奏形式,作曲,编曲/配器,编曲/配器_2,库存编号,实体区域,总分谱,PDF,Sibelius,Finale,Encore,MIDI,录音（日期+单位）,视频（日期+单位）,备注,标签
764,莱村女,二胡协奏,,,,EH-LC0001.2015,,总谱 分谱,,,,,,,,,
765,兰花花叙事曲,二胡独奏,关铭,,,EH-LH0001,,简总谱 简分谱,,,,,,,,,
766,葡萄熟了,二胡独奏,周维,,,EH-PT0001,,简总谱 简分谱,,,,,,,,,
767,清明上河图之城关图（中国音画）,二胡独奏,史志有,,,EH-QM0001,,总谱,,,,,,,,,
768,乔家大院Mv.III爱情,二胡独奏与钢琴,赵季平,,,EH-QJ0001,,总谱,,,,,,,,,
769,秦腔主题随想曲,二胡独奏,,赵震霄、鲁日融,,EH-QQ0001,,总谱,,,,,,,,,
770,秋韵(太行山歌谣主题曲的回旋与变奏),二胡与乐队,刘文金,,,EH-QY0001,,手写总谱,,,,,,,,,
771,我的祖国,二胡协奏,梁炽,李复斌,,EH-WD0001,,总谱,,,,,,,,,
,我的祖国+烽火操,二胡协奏,王丹红、刘文金,李复斌,,EH-WD0002,曲库电脑,总谱,,✓,,,,,,慢板王丹红《我的祖国》、快板刘文金《烽火操》,红歌
772,喜唱丰收,二胡独奏与筝,杨惠林、许讲德,,李复斌,EH-XC0001,,总谱,,,,,,,,,
773,弦歌吟,二胡协奏,李博禅,,,EH-XG0001.2016,,总谱,,,,,,,,,
774,新婚别,二胡协奏,张晓峰、朱晓谷,,,EH-XH0001,,总谱 手写总谱,,,,,,,,,
775,弦意岭南,二胡独奏,王丹红,,,EH-XY0001,,总谱,,,,,,,,,
776,一枝花,二胡独奏,,张式业,李复斌,EH-YZ0001,,总谱 分谱,,,,,,,,,
777,中国西部掠影（三首）,二胡独奏,Ke Xu、李复斌,,,EH-ZG0001.2004,,简总谱 总谱,,,,,,,,眼泪、黄沙·古道、大漠·敦煌,
778,中国锣鼓,二胡与打击乐,,李复斌,,EH-ZG0002.2018,,总谱,,,,,,,,,
779,战马奔腾,二胡独奏,陈耀星,,李复斌,EH-ZM0001,,总谱 分谱,✓,✓,,,,,,,
780,草原上,中胡独奏,刘明源,,,ZH-CY0001,,简总谱,,,,,,,,,
781,阿月出嫁,葫芦丝独奏,,,,HL-AY0001,A6-4,总谱,,,,,,,,,
782,灞柳情,葫芦丝独奏,王厚臣,李复斌,,HL-BL0001,A6-4,总谱 分谱,,,,,,,,,
,灞柳情,葫芦丝独奏,王厚臣,李复斌,,HL-BL0002,曲库电脑,总谱,,✓,,,,,,,
783,春满傣乡,葫芦丝独奏,,,,HL-CM0001,A6-5,总谱 分谱,,,,,,,,,
784,打跳欢歌,葫芦丝独奏,李春华,,,HL-DT0001,A6-5,总谱,,,,,,,,,
785,断桥残月,葫芦丝独奏,李春华,李复斌,,HL-DQ0001,A6-5,总谱 分谱,,,,,,,,,
786,多情的巴乌,葫芦丝独奏,,李复斌,,HL-DQ0002,A6-5,总谱,,,,,,,,,
787,飞天——敦煌壁画幻想曲,葫芦丝与乐队,,李复斌,,HL-FT0001.2016,A6-5,总谱,,,,,,,,,
788,篝火狂欢夜,葫芦丝独奏,,,,HL-GH0001,A6-5,总谱,,,,,,,,,
789,欢歌弦舞,葫芦丝独奏,李贵中,李复斌,,HL-HG0001,A6-5,总谱 分谱,,,,,,,,,
790,京调,葫芦丝独奏,顾冠仁,李复斌,,HL-JD0001,A6-5,总谱 分谱,,,,,,,,,
791,孔雀河的传说,葫芦丝协奏,李复斌,,,HL-KQ0001.2013,A6-5,总谱,,,,,,,,,
792,孔雀河的传说,葫芦丝协奏,李复斌,,,HL-KQ0001.2014,A6-5,总谱,,,,,,,,,
793,梨花雨,葫芦丝独奏,,,,HL-LH0001,A6-5,总谱 分谱,,,,,,,,,
794,我和你,葫芦丝独奏,,,,HL-WH0001,A6-5,总谱 分谱,,,,,,,,,
795,雪莲花开,葫芦丝独奏,李春华,李复斌,,HL-XL0001,A6-5,总谱 分谱,,,,,,,,,
796,炫动时光,葫芦丝独奏,,,,HL-XD0001,A6-5,总谱,,,,,,,,,
797,野狼,葫芦丝合奏,,,,HL-YL0001,A6-5,总谱 分谱,,,,,,,,,
798,月光下的凤尾竹,葫芦丝独奏,施光南,李复斌,,HL-YG0001,A6-5,总谱,,,,,,,,,
799,月光下的凤尾竹,葫芦丝独奏,施光南,李复斌,,HL-YG0001（2）,A6-5,总谱,,,,,,,,,
,春暖花乡,葫芦丝与管弦乐队,李春华,杨春林,,HL-CN0002,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,打跳欢歌,葫芦丝与管弦乐队,李春华,杨春林,,HL-DT0002,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,大鱼,葫芦丝与管弦乐队,钱雷,,,HL-DY0003,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,但愿人长久,葫芦丝与管弦乐队,梁弘志,滕坤,,HL-DY0004,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,多情的巴乌,葫芦丝与管弦乐队,张汉举,杨春林,,HL-DQ0005,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,断桥残月,葫芦丝与管弦乐队,杨春林,,,HL-DQ0006,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,孤独的黑骏马,葫芦丝与管弦乐队,李春华,,,HL-GD0002,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,欢歌弦舞,葫芦丝与管弦乐队,李贵中,马骥,,HL-HG0002,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,蓝色香巴拉,葫芦丝与管弦乐队,李春华,马骥,,HL-LS0002,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,梨花雨,葫芦丝与管弦乐队,李春华,,,HL-LH0003,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,木鼓神韵,葫芦丝与管弦乐队,李春华,马骥,,HL-MG0001,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,赛马变奏曲,葫芦丝与管弦乐队,黄海怀,李春华,杨春林,HL-SM0001,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,上海滩,葫芦丝与管弦乐队,顾嘉辉,滕坤,,HL-SH0002,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,山丹丹开花红艳艳,葫芦丝与管弦乐队,陕北民歌,杨春林,,HL-SD0003,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,山之子,葫芦丝与管弦乐队,,,,HL-SZ0004,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,天边,葫芦丝与管弦乐队,,,,HL-TB0001,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,我爱你中国,葫芦丝与管弦乐队,郑秋枫,,,HL-WA0002,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,雪莲花开,葫芦丝与管弦乐队,,李春华,,HL-XL0002,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,月光下的凤尾竹,葫芦丝与管弦乐队,施光南,,,HL-YG0002,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,新编夜深沉,葫芦丝与管弦乐队,京剧曲牌,金田工作室,,HL-XB0003,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,竹林深处,葫芦丝与管弦乐队,杨正玺、龚全国,金田工作室,,HL-ZL0001,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,竹楼情歌F大调,葫芦丝与管弦乐队,,,,HL-ZL0002,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
,竹楼情歌降B大调,葫芦丝与管弦乐队,,,,HL-ZL0002.2,A6-5袋内,总谱,,,,,,,,A3，音乐会常用,
800,乱云飞,京胡领奏,根据现代京剧《杜鹃山》同名唱段改编,李复斌,,JH-LY0001,,总谱,,,,,,,,,
801,迎春,京胡与乐队,邹野,,,JH-YC0001,,总谱,,,,,,,,,
802,夜深沉,京胡独奏,京胡曲牌,,李复斌,JH-YS0001,,总谱 分谱,,,,,,,,,
803,汉宫秋月,椰胡独奏,,李复斌,,YH-HG0001.2016,,总谱,,,,,,,,,
804,渔歌(《北方素描》Mv.III),月琴协奏,,,,YU-YG0001,,总谱,,,,,,,,,
805,铁达尼号,排箫独奏,,,,PA-TD0001,,手写简总谱,,,,,,,,,
806,嵩山印象（Mv.I、II）,柳琴、琵琶双协奏,王惠然、王红艺,,,MC-SS0001,,总谱,,,,,,,,第一乐章嵩山情怀、第二乐章少林神功,
807,三峡画页（Mv.III）,木琴、扬琴独奏,李复斌,,,MC-SX0001,,总谱 分谱,,,,,,,,,
,山歌,中阮、柳琴与乐队,刘星,,李复斌,MC-SG0003,,总谱 分谱,✓,✓,,,,,,,
808,月圆曲,高胡、古筝、洞箫与民族管弦乐,,李复斌,,MC-YY0001,,总谱 分谱 简分谱,,,,,,,,,
809,自由探戈,笙、大提琴与乐队,皮亚佐拉,李复斌,,MC-ZY0001.2015,,总谱,,,,,,,,,
810,出埃及记,钢琴与民族乐队,Tonci Huljic,李复斌,,PN-CA0001.2010,,总谱 分谱,,,,,,,,,
811,黄河（Mv.II、III、IV）,钢琴,,,,PN-HH0001,,总谱 分谱,,,,,,,,,
812,黄河（Mv.I）,钢琴协奏,,李复斌,,PN-HH0001.2010,,总谱 分谱,,,,,,,,,
813,青年钢琴协奏曲,钢琴及民族管弦乐,刘诗昆、孙亦林、潘一鸣、黄晓飞,,,PN-QN0001,,总谱,,,,,,,,,
814,远野物语,钢琴solo,,,,PN-YY0001,,手写简总谱,,,,,,,,,
815,党的女儿之《万里春色满家园》,歌剧、女声独唱,王祖皆、张卓娅,,李复斌,VO-DD0001.2017,,总谱,,,,,,,,,
816,第四协奏（Mv.I）,小提琴协奏,李自立,,,VN-DS0001,,分谱,,,,,,,,,
817,第四协奏（Mv.II）,小提琴协奏,李自立,,,VN-DS0001,,分谱,,,,,,,,,
818,第四协奏（Mv.III）,小提琴协奏,李自立,,,VN-DS0001,,总谱 分谱,,,,,,,,,
819,梁山伯与祝英台,小提琴协奏,何占豪、陈钢,,,VN-LS0001,,分谱,,,,,,,,,
820,莫扎特：小夜曲（两首）,小提琴,,,,VN-XY0001,,总谱 手写总谱,,,,,,,,天鹅湖（组曲之一）、向基尔致敬,
821,敖包相会、平安颂,声乐,李复斌,,,VO-AB0001,A1-1,总谱 分谱,,,,,,,,,
,敖包相会,声乐独唱,通福,,丁家琳,VO-AB0002,A1-1,总谱 分谱,,,,,,,,,
822,爱的罗曼史,吉他与乐队,叶佩斯,殷飚,李复斌,VO-AD0001,A1-1,总谱 分谱,,,,,,,,,
,爱像一首歌,声乐独唱,三木尤贺志,,,VO-AX0001,A1-1,总谱 分谱,,,,,,,,,
823,啊，我的虎子哥——选自歌剧《原野》,歌剧,金相,,李复斌,VO-AW0001.2010,A1-1,总谱 分谱,,,,,,,,,
,爱我中华,歌曲独唱,徐沛东,,李复斌,VO-AW0002,A1-1,总谱 分谱,,,,,,,,,
824,步步高,声乐,吕文成,,曹文工,VO-BB0001,A1-1,总谱 分谱,,,,,,,,,
825,步步高,演唱版,,,,VO-BB0001,A1-1,总谱 分谱,,,,,,,,,
826,北京北京,歌曲,胡力,,李复斌,VO-BJ0001,A1-1,总谱 分谱,,,,,,,,,
827,北京北京,歌曲,胡力,,李复斌,VO-BJ0001,A1-1,总谱,,,,,,,,,
828,白毛女杨白劳咏叹调“十里风雪”,歌剧,,,李复斌,VO-BM0001.2019,A1-1,总谱,,,,,,,,,
829,白毛女《北风吹/序曲》,歌剧,,,,VO-BM0001,A1-1,总谱,,,,,,,,,
830,白毛女《恨似高山仇似海》,歌剧,马可、张鲁、翟伟、焕之、向隅、陈紫、刘炽,,,VO-BM0001,A1-1,总谱,,,,,,,,,
831,白毛女《红枣舞》《喜儿哭诉》《十里风雪》,歌剧,,李复斌,,VO-BM0001,A1-1,总谱,,,,,,,,,
,卜算子-咏梅,独唱,孙玄龄,李复斌,,VO-BS0001,A1-1,总谱,,,,,,,,,
,博望侯·张骞,歌剧独唱,张玉龙,龚国富,,VO-BW0001.2005.6.6,A1-1,总谱,,,,,,,,,
832,把一切献给党,男高音独唱,印青,,李复斌,VO-BY0001.2016,A1-2,总谱 分谱,,,,,,,,,
833,猜调,民歌,,,,VO-CD0001,A1-2,手写总谱,,,,,,,,,
,晨风在珠三角吹过,粤语歌曲,黄德兴,,,VO-CF0001·2005·6·6,A1-2,总谱,,,,,,,,,
834,船歌,印尼民歌,,,,VO-CG0001,A1-2,简总谱,,,,,,,,,
,船歌,独唱,,李复斌,李复斌,VO-CG0002（1）,A1-2,总谱 分谱,,,,,,,,,
,船歌,独唱,,李复斌,李复斌,VO-CG0002（2）,A1-2,总谱,,,,,,,,,
835,春江花月夜,声乐随想曲,徐景升,,李助炘,VO-CJ0001.2001,A1-2,手写总谱,,,,,,,,,
836,潮声,男声合唱,孟卫东,,,VO-CS0001.2021,A1-2,简总谱 总谱,,,,,,,,,
837,彩云追月,女高独唱,,李复斌,,VO-CY0001,A1-2,分谱,,,,,,,,,
838,草原·牧歌·雄鹰,人声,,,,VO-CY0002,A1-2,总谱 分谱,,,,,,,,,
839,草原之夜,男高音独唱,,,,VO-CY0003,A1-2,手写总谱,,,,,,,,,
840,草原之夜,独唱,,周熙杰,,VO-CY0003,A1-2,总谱,,,,,,,,,
,草原之夜,独唱,,周熙杰,,VO-CY0003,A1-2,总谱 分谱,,,,,,,,,
841,潮州联谊会会歌,歌曲,马明,李复斌,,VO-CZ0001.2005,A1-2,总谱 分谱 简总谱,,,,,,,,,
,春之韵珠江赋（演唱：梁玉嵘）,歌曲,李复斌,,,VO-CZ0002·2015·1.9,A1-2,总谱,,,,,,,,,
842,对花,声乐,,于化新,,VO-DH0001,A1-2,分谱,,,,,,,,,
,对花,声乐独唱,,于化新,,VO-DH0001,A1-2,总谱 分谱,,,,,,,,,
843,独上西楼,歌曲,刘家昌,李复斌,,VO-DS0001,A1-2,总谱,,,,,,,,演唱：邓丽君,
,独上西楼,歌曲独唱,刘家昌,,,VO-DS0002,A1-2,总谱 分谱,,,,,,,,,
844,但愿人长久（水调歌头）,歌曲,梁弘志,,,VO-DY0001,A1-3,简总谱,,,,,,,,,
845,放飞梦想（大歌舞）,2男2女四人领唱,李复斌,,,VO-FF0001.2007,A1-3,总谱,,,,,,,,,
846,放风筝,女声,小调、河北南皮民歌,,,VO-FF0002,A1-3,分谱,,,,,,,,,
847,佛山颂,南音弹唱,汤凯旋,,,VO-FS0001,A1-3,简总谱,,,,,,,,演唱：梁玉嵘,
,发现散包,独唱,,,,VO-FX0001,A1-3,简谱  总谱,,,,,,,,,
848,风雨同路,歌曲,简美京平,李复斌,,VO-FY0001,A1-3,总谱 分谱,,,,,,,,演唱：梁玉嵘,
,广东汉乐新三百首  小调类,汉乐歌曲,,,,VO-GD0001,A1-3,简谱,,,,,,,,,
849,贵妃醉酒,歌曲独唱,胡力,,李复斌,VO-GF0001.2013,A1-3,总谱 分谱,,,,,,,,,
850,光辉岁月,歌曲独唱,Beyong,,,VO-GH0001,A1-3,总谱,,,,,,,,,
851,歌剧魅影,歌剧独唱,Lloyd Webber,,李复斌,VO-GJ0001.2015,A1-3,总谱,,,,,,,,,
852,共筑中国梦,女高女低,,,,VO-GZ0001,A1-3,总谱,,,,,,,,,
853,恨,民族女高合唱,李复斌,,,VO-H0001,A1-3,手写总谱,,,,,,,,,
,和风小送畦土香,女声独唱,,梁军,,VO-HF0001,A1-3,总谱,,,,,,,,,
854,好歌唱给好人听,女高、女低、男中,,,,VO-HG0001,A1-4,总谱,,,,,,,,,
855,洪湖赤卫队——韩母、韩英对唱,歌剧,,,,VO-HH0001,,总谱,,,,,,,,三份不同的总谱,
856,洪湖赤卫队——看天下劳苦人民都解放（韩英唱段、刘闯唱段）,歌剧,董乐弦,李复斌,,VO-HH0001.2006,,总谱 分谱,,,,,,,,,
857,洪湖赤卫队——保卫家乡,歌剧,张敬安、欧阳谦叔,李复斌,,VO-HH0001,,总谱,,,,,,,,,
858,洪湖赤卫队——没有眼泪、没有悲伤,歌剧,张敬安、欧阳谦叔,李复斌,,VO-HH0001.2006,,总谱 分谱,,,,,,,,,
859,好汉歌,声乐,赵季平,曹文工,,VO-HH0002,,总谱 分谱,,,,,,,,,
860,好汉歌、平安颂,歌曲,,,,VO-HH0002,,分谱,,,,,,,,,
861,荷花赋（寄调）,独唱与乐队,,李复斌,,VO-HH0003,,总谱 分谱,,,,,,,,,
862,黄河,双排键与合唱,,李复斌,,VO-HH0004,,总谱 分谱,,,,,,,,,
,洪湖-序曲,声乐,,李复斌,,VO-HH0005,,总谱 分谱,,,,,,,,,
863,红楼梦组曲之八、枉凝眉,独唱合唱,王立平,李复斌,,VO-HL0001.2011,,总谱 分谱,,,,,,,,,
864,红楼梦之十五、葬花吟,女独,王立平,李复斌,,VO-HL0001.2011,,总谱 分谱,,,,,,,,,
865,红梅赞,独唱,,,,VO-HM0001,,总谱,,,,,,,,,
866,曲04花梦,女声独唱,孟卫东,,李复斌,VO-HM0001.2021,,总谱 简总谱,,,,,,,,大型民族交响组曲《簕杜鹃与金莲花》曲4,
867,好日子,独唱,士心,,李复斌,VO-HR0001,,总谱 分谱,,,,,,,,,
868,好日子,歌曲,李昕,,,VO-HR0001,,总谱,,,,,,,,,
869,何日再见,歌曲,,,,VO-HR0001,,简总谱,,,,,,,,誓言、心声、东方之珠、鲁冰花、雨中交响曲、只要为你活一天,
870,海上生明月,女声独唱,李复斌,,,VO-HS0001,,总谱,,,,,,,,,
871,和.我们共唱的歌,男声独唱,,李复斌,,VO-HW0001,,总谱 分谱,,,,,,,,,
872,花月影——花月情、明月清辉,独唱,,李复斌,,VO-HY0001,,总谱,,,,,,,,,
873,曲10和韵,女高独唱与混声合唱,孟卫东,,李复斌,VO-HY0002,,简总谱,,,,,,,,大型民族交响组曲《簕杜鹃与金莲花》,
874,海韵,歌曲,古月,,,VO-HY0003,,简分谱 手写总谱,,,,,,,,,
875,花之歌,歌曲,,,,VO-HZ0001,,简分谱 总谱,,,,✓,,,,,
876,江河水,女声独唱,,,,VO-JH0001,,手写总谱,,,,,,,,,
,江河水,粤曲清唱,,李复斌,李复斌,VO-JH0002,,总谱,,,,,,,,,
877,江姐组曲,歌剧,羊鸣、姜春阳、金砂,,丁家琳,VO-JJ0001,,总谱,,,,,,,,,
878,江姐——干革命，后继有人（山雨欲来风满楼）,歌剧,,,,VO-JJ0001,,总谱,,,,,,,,,
879,江姐——五洲人民齐欢笑,歌剧,,,,VO-JJ0001,,总谱,,,,,,,,,
880,骏马奔驰保边疆,歌曲,李复斌,,,VO-JM0001,,总谱 分谱,,,,,,,,,
881,江山美人,歌曲,,,,VO-JS0001,,总谱,,,,,,,,,
882,康定情歌,声乐,,,李复斌,VO-KD0001.2010,,总谱,,,,,,,,,
883,康定情歌,声乐,,李复斌,,VO-KD0001.2013,,总谱,,,,,,,,,
,康定情歌,声乐,,李复斌,李复斌,VO-KD0001.2010·2013,,总谱 分谱,,,,,,,,,
,客风出水莲（古韵转声响彻大中华）,女声汉曲清唱,,范胜华,,VO-KF0001,,手写总谱 手写简谱,,,,,,,,,
884,慷慨清音，明转天然（张莺燕地方民歌独唱音乐会）（16首）,独唱,,,,VO-KK0001.2019,,简总谱 总谱,,,,,,,,月牙五更、羊肚子手巾三道道蓝、新疆民歌组曲、荷英花、花儿与少年、铃铛、沂蒙山小调、一铺滩滩杨柳树、拔根芦柴花、天上雾腾腾、石榴花开叶子青、四季花儿开、嗺咚嗺、咕噜山歌、月光光、龙船调,
885,客家妹子爱唱歌,女声独唱,,,,VO-KJ0001,,总谱 分谱,,,,,,,,,
,看天下劳苦人民都解放,歌剧,张敬安、欧阳谦叔,,,VO-KT0001,,简谱,,,,,,,,,
886,曲08浪奔,男高音独唱与混声合唱,孟卫东,,李复斌,VO-LB0001,,总谱,,,,,,,,大型民族交响组曲《簕杜鹃与金莲花》,
887,龙船调,声乐,湖北民歌,曹文工,,VO-LC0001,,总谱 分谱,,,,,,,,,
,龙船调,女高音独唱,,李复斌,李复斌,VO-LC0001,,总谱,,,,,,,,,
888,李复斌歌曲集（上）（14首）,歌曲,李复斌,,,VO-LF0001,,简总谱,,,,,,,,打硪歌、寻梦的地方、中国电信之歌、窗口、红色木箱、热线、数据通讯、今天就在我的手、清江行、圆形的路、手、落叶颂、世界向你走来、莲湘舞——过年,
889,李复斌歌曲集（下）（4首）,歌曲,李复斌,,,VO-LF0001,,简总谱,,,,,,,,大地、清江龙舟节、世界想你走来、莲湘舞——过年,
890,刘海砍樵,声乐,,,,VO-LH0001,,总谱 分谱,,,,,,,,,
891,兰花花,独唱,陕北民歌,王志信,,VO-LH0002,,总谱,,,,,,,,,
892,曲12领航,男低音独唱与混声合唱,孟卫东,,李复斌,VO-LH0003.2021,,简总谱,,,,,,,,大型民族交响组曲《簕杜鹃与金莲花》,
893,娄兰姑娘,女声三重唱,,,李复斌,VO-LL0001,,总谱,,,,,,,,,
894,梨园春（徽京乐歌）,青衣演唱,李复斌,,,VO-LY0001.2024,,总谱,,,,,,,,,
,梨园春,独唱,李复斌,,,VO-LY0001.2008,,总谱 分谱,,,,,,,,,
895,绿荫,男女声小组唱与混声合唱,孟卫东,,,VO-LY0001.2021,,简总谱 总谱,,,,,,,,大型民族交响组曲《簕杜鹃与金莲花》,
896,荔枝颂（广东小曲）,独唱,陈冠卿,李复斌,,VO-LZ0001.2017,,总谱,,,,,,,,,
897,荔枝颂（广东小曲）,独唱,陈冠卿,李复斌,,VO-LZ0001.2019,,总谱,,,,,,,,,
898,荔枝颂（广东小曲）,独唱,陈冠卿,李复斌,,VO-LZ0001.2019（2）,,分谱,,,,,,,,,
899,荔枝颂,钢伴与独唱,,,钱正均,VO-LZ0001,,总谱,,,,,,,,,
900,漫步人生路,独唱,中岛美雪,李复斌,,VO-MB0001.2010,,总谱,,,,,,,,,
,漫步人生路,独唱,中岛美雪,李复斌,,VO-MB0001.2010,,总谱 分谱,,,,,,,,,
,门当户对,独唱,黄德兴,李复斌,,VO-MD0001,,总谱 分谱,,,,,,,,,
901,玫瑰香片,歌曲,,,,VO-MG0001,,分谱,,,,,,,,演唱：梁玉嵘,
902,梦会太湖,独唱,,,李复斌,VO-MH0001,,总谱,,,,,,,,,
,梅花引,独唱,徐沛东,,李复斌,VO-MH0002.2009,,总谱 分谱,,,,,,,,,
,梅花引,独唱,徐沛东,,李复斌,VO-MH0002.2009,,总谱 分谱,,,,,,,,,
903,茉莉花,声乐,江苏民歌,曹文工,,VO-ML0001,,总谱 分谱,,,,,,,,,
904,苗岭连北京（苗族民歌）、赶牲灵,歌曲,,白诚仁,李复斌,VO-ML0002,,总谱 分谱,,,,,,,,,
905,马铃儿响来玉鸟儿唱,男女声二重唱,罗宗贤、葛炎,,,VO-ML0003.2009,,总谱,,,,,,,,,
,木兰从军,女独,,,,,,手写总谱,,,,,,,,,
906,梦寻芙蓉镇,独唱,杨晓,,赵丹,VO-MX0001,,总谱,,,,,,,,,
907,玛依拉,声乐,,丁善德,于化新,VO-MY0001,,总谱 分谱,,,,,,,,,
908,南海赞,女声合唱,,李复斌,,VO-NH0001,,总谱,,,,,,,,,
909,南海潮,男声合唱,李复斌,,,VO-NH0002.2020,,总谱 分谱,,,,,,,,,
,念亲恩,歌曲,,,,VO-NQ0001,,总谱,,,,,,,,,
910,难忘今宵,歌曲,,,李复斌,VO-NW0001,,总谱,,,,,,,,,
911,请茶歌,歌曲,解策励,,李复斌,VO-QC0001,,总谱 分谱,,,,,,,,,
912,清江龙舟节,女声三重唱,李复斌,,李复斌,VO-QJ0001,,总谱,,,,,,,,,
913,清粼粼的水来蓝莹莹的天（选自歌剧《小二黑结婚》）,女高音独唱,马可,,,VO-QL0001,,总谱,,,,,,,,,
914,亲亲呆呆,歌曲,,,,VO-QQ0001,,手写总谱,,,,,,,,,
,恰似你的温柔,歌曲,梁弘志,,,VO-QS0001,,歌谱,,,,,,,,,
,恰似你的温柔,歌曲,梁弘志,李复斌,李复斌,VO-QS0001,,总谱 分谱,,,,,,,,,
915,七月,民族女高音与合唱,李复斌,,,VO-QY0001,,总谱,,,,,,,,,
,七月,女高音独唱,李复斌,,,VO-QY0001,,总谱,,,,,,,,,
916,屈原：《楚辞》之“越人歌”,独唱,李复斌,,,VO-QY0001.2010,,总谱 分谱,,,,,,,,,
917,让世界充满爱,歌曲,,,,VO-RS0001,,总谱 分谱,,,,,,,,,
918,谁不说俺家乡好,声乐,,,房晓敏,VO-SB0001,,手写总谱,,,,,,,,,
919,山茶花,歌曲,远藤实,,,VO-SC0001,,总谱,,,,,,,,,
,山茶花,歌曲独唱,,李复斌,李复斌,VO-SC0002,,总谱 分谱,,,,,,,,,
920,山丹丹花开红艳艳、春天的故事、父老乡亲,声乐,王佑贵,,李助炘,VO-SD0001,,总谱,,,,,,,,春天的故事（曲：王佑贵）,
921,Scarborough Fair（斯卡布罗集市）,钢琴solo,电影《毕业生》插曲,,,VO-SF0001,,分谱,,,,,,,,,
922,山歌一曲迎宾客,男女声领唱和合唱,李复斌,,,VO-SG0001,,总谱,,,,,,,,,
923,山歌唱出好兆头,男声独唱,,梁军,,VO-SG0002,,总谱,,,,,,,,,
924,素歌,女高solo,严冬,,,VO-SG0003,,总谱 分谱,,,,,,,,,
,送个妈妈的茉莉花  梅花引         越来越好,女生独唱,,李复斌,李复斌,VO-SG0004.2005,,总谱 歌谱,,,,,,,,,
925,世界向你走来,歌曲,李复斌,,,VO-SJ0001,,简总谱 总谱,,,,,,,,,
926,神秘湘西等你来,歌曲,向远、杨晓,,赵丹,VO-SM0001,,总谱,,,,,,,,,
,少年壮志不言愁,男高音独唱,,李复斌,,VO-SN0001,,总谱 分谱,,,,,,,,,
927,送情郎,独唱与合唱,山西河曲民歌,,,VO-SQ0001,,总谱 分谱,,,,,,,,,
928,烧肉粽,声乐,张邱东松,,曹文工,VO-SR0001,,总谱 分谱,,,,,,,,,
929,十送红军,声乐,,,,VO-SS0001,,总谱 分谱,,,,,,,,,
930,十送红军,唢呐与乐队/合唱,,李复斌,,VO-SS0002,,总谱 分谱,,,,,,,,,
931,土家喜爱咚咚咥,声乐,杨小波,,赵丹,VO-TJ0001,,总谱,,,,,,,,,
932,土家哦伙歌,女高独唱,王原平,,李复斌,VO-TJ0002.2016,,总谱 分谱,,,,,,,,,
933,甜蜜蜜,歌曲,,李复斌,,VO-TM0001.2010,,总谱,,,,,,,,,
,甜蜜蜜,歌曲,,李复斌,,VO-TM0001.2010,,总谱 分谱,,,,,,,,,
,太阳出来喜洋洋,独唱,四川民歌,,房晓敏,VO-TY0001,,总谱,,,,,,,,,
934,我的太阳,独唱,,,,VO-WD0001,,总谱,,,,,,,,,
,我的太阳,歌曲,,李复斌,李复斌,VO-WD0001,,aa,,,,,,,,,
935,五哥放羊（榆林小曲）,声乐,,曹文工,,VO-WG0001,,总谱 分谱,,,,,,,,,
,五哥放羊,女生独唱,,李复斌,,VO-WG0001,,手写总谱,,,,,,,,,
936,我们的生活充满阳光（电影《甜蜜的事业》插曲）,声乐,吕远、唐诃,,李复斌,VO-WM0001,,总谱 分谱,,,,,,,,,
937,我们的生活充满阳光（电影《甜蜜的事业》插曲）,歌曲,,,,VO-WM0001.2004,,总谱,,,,,,,,,
938,WakaWaka,歌曲重唱,,,,VO-WW0001,,简总谱,,,,,,,,,
939,五州人民齐欢笑（选自歌剧《江姐》）,歌曲独唱,,,,VO-WZ0001,,总谱 分谱,,,,,,,,,
940,洗菜心,声乐,,,,VO-XC0001,,总谱 分谱,,,,,,,,,
941,小城故事,歌曲独唱,,杨培贤,,VO-XC0002,,手写总谱,,,,,,,,,
942,小城故事,歌曲独唱,汤尼,,,VO-XC0002,,总谱 分谱,,,,,,,,,
